chunk_id,pagerank_score
123,0.00747273
100,0.00707454
121,0.00703029
67,0.00701761
102,0.00695484
8,0.00689005
87,0.00678158
118,0.00664813
176,0.00663101
120,0.00661391
161,0.00658902
113,0.00658574
83,0.00651521
99,0.00641493
101,0.00640636
96,0.00639883
19,0.00638138
2,0.00637773
111,0.00632959
15,0.00632566
133,0.00628655
175,0.00616734
32,0.00614728
49,0.00614095
29,0.00612103
138,0.0061159
22,0.00611299
129,0.00609702
132,0.00607344
92,0.0060587
109,0.00604933
98,0.00604139
43,0.00601355
144,0.00598394
154,0.00598044
145,0.00596418
3,0.00595916
119,0.00595716
47,0.00594865
50,0.00594532
37,0.00593031
115,0.00591367
55,0.00590727
77,0.00590251
6,0.00589732
82,0.00589049
171,0.00586883
5,0.00586866
88,0.00586322
36,0.00585159
124,0.00585115
150,0.00584394
38,0.00584161
66,0.00583377
158,0.00582691
54,0.00581425
108,0.00581331
86,0.00580982
166,0.00580624
59,0.00580467
44,0.00580053
1,0.00579169
160,0.00578732
167,0.00577734
148,0.0057646
143,0.00576442
9,0.0057609
53,0.00575445
165,0.00574035
173,0.00573986
136,0.00573529
80,0.00573329
162,0.00572924
75,0.00571976
112,0.00571186
104,0.00570535
52,0.00569929
155,0.00569571
151,0.00569104
117,0.00568962
13,0.00566806
45,0.00566658
91,0.00566488
137,0.00566486
149,0.00564024
106,0.00562839
7,0.00562477
64,0.00562398
114,0.00561314
56,0.00561032
73,0.00560952
122,0.00560594
20,0.0055942
152,0.00559119
35,0.00558418
127,0.00558038
170,0.00557064
146,0.00556915
147,0.00556481
159,0.00556431
51,0.00556114
60,0.00555871
21,0.00555132
76,0.00554681
71,0.00553395
57,0.0055274
74,0.00551543
135,0.00550347
90,0.00549966
169,0.00548835
12,0.0054807
157,0.00548059
14,0.0054722
34,0.00546645
134,0.00545239
16,0.00544219
177,0.00543493
62,0.00543483
81,0.00542506
84,0.00541107
68,0.00540981
153,0.00540845
70,0.00540724
41,0.00540585
156,0.00540034
46,0.00539298
163,0.00538295
63,0.00537527
58,0.00537077
139,0.00536176
72,0.00535729
168,0.00535657
97,0.00534896
33,0.00531419
164,0.00531257
61,0.00529523
23,0.00526857
79,0.00525928
25,0.00523233
78,0.00522706
174,0.00521401
172,0.00519664
27,0.00519336
31,0.00518895
95,0.00517287
69,0.00516832
4,0.00514637
141,0.00513957
116,0.00510084
39,0.00507155
130,0.00506829
24,0.00505544
28,0.00504859
131,0.00501234
42,0.00496781
103,0.00495061
107,0.00494516
142,0.00491567
18,0.00490618
128,0.00486254
140,0.00485299
30,0.00481401
17,0.00477889
11,0.00476999
89,0.00470537
40,0.0047042
65,0.00469617
110,0.00468776
85,0.00466224
0,0.0046613
94,0.00464424
10,0.00463866
126,0.00462609
93,0.00455323
125,0.00453183
26,0.00447665
105,0.00441554
48,0.00400715
